source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"By the 1990s, the end of the cold war and normalisation of relations between some countries improved the prospects for creating a rail network across the Asian continent.","In den 1990er Jahren war der Kalte Krieg beendet, und die Beziehungen zwischen einigen Ländern wurden normal. Dadurch wurde die Schaffung eines Schienennetzes über den asiatischen Kontinent möglicher.",冷战的结束和一些国家之间关系的改善使得整个亚洲大陆更有可能建立铁路网。,The end of the cold war and improved relations among some countries have made it more likely that railway networks will be established throughout the Asian continent.,"In the 1990s, the Cold War was over and relations between some countries became normal, making it possible to create a rail network across the Asian continent."
"History and mandate The Drug Enforcement Administration was established on 1 July 1973, by Reorganization Plan No. 2 of 1973, signed by President Richard Nixon on 28 March 1973.","Die Drug Enforcement Administration wurde am 1. Juli 1973 durch den Reorganisationsplan Nr. 2 von 1973 gegründet, der am 28. März 1973 von Präsident Richard Nixon unterzeichnet wurde.","1973年7月1日,根据1973年3月28日理查德·尼克松总统签署的1973年第2号重组计划,成立了缉毒署。","On 1 July 1973, the Drug Enforcement Agency was established under Reorganization Plan No. 2 of 1973, signed by President Richard Nixon on 28 March 1973.","The Drug Enforcement Administration was established on 1 July 1973 by the reorganization plan No. 2 of 1973, signed by President Richard Nixon on 28 March 1973."
"The National Coat of Arms of Denmark consists of three crowned blue lions accompanied by nine red hearts, all in a golden shield.",Das Wappen Dänemarks hat drei gekrönte blaue Löwen und neun rote Herzen in einem goldenen Schild.,"丹麦国家武器外套有三只顶冠蓝狮子,有九颗心,狮子和心在金盾上。","The Danish national weapons coat consists of three blue lions with a crown, nine hearts, and a lion and a heart on a golden shield.",The coat of arms of Denmark has three crowned blue lions and nine red hearts in a golden shield.
"However, admirals have always needed additional facilities; a meeting room large enough to hold all the captains of the fleet, and a place for the admiral's staff to make plans and draw up orders.","Admirale brauchten größere Einrichtungen wie einen Besprechungsraum, der groß genug ist, um alle Kapitäne der Flotte zu halten, und einen Platz für das Personal des Admirals, um Pläne zu machen und Befehle zu erstellen.","然而,海军上将总是需要更多的设施,他们需要一个足够全体舰队队长使用的会议室,他们还需要一个地方供海军上将的参谋制定计划和起草命令。","However, the Admiral always needs more facilities, they need a conference room sufficient for all fleet captains, and they need a place for the Admiral's staff to plan and draft orders.","Admirals needed larger facilities such as a meeting room large enough to hold all the captains of the fleet, and a place for the Admiral's staff to make plans and create orders."
"The San Antonio Spurs are an American professional basketball team based in San Antonio, Texas.","Die San Antonio Spurs sind eine US-amerikanische Basketballmannschaft aus San Antonio, Texas.",San Antonio Spurs是一支篮球队 基地在得克萨斯州San Antonio,"San Antonio Spurs is a basketball team based in San Antonio, Texas.","The San Antonio Spurs are an American basketball team based in San Antonio, Texas."
Implementations SSL and TLS have been widely implemented in several open source software projects.,Implementierungen SSL und TLS wurden in Open-Source-Software-Projekten implementiert.,"在某些开放源码软件项目中,已广泛开展了SSL和TLS实施项目。","In some OSS projects, SSL and TLS implementation projects have been carried out extensively.",Implementations SSL and TLS have been implemented in open source software projects.
"Other Mario sports games include the Camelot-developed series Mario Golf and Mario Tennis, and, respectively, the baseball and soccer games Mario Superstar Baseball and Super Mario Strikers.",Weitere Mario Sportspiele sind der Mario Golf und Mario Tennis. Auch die Baseball- und Fußballspiele Mario Superstar Baseball und Super Mario Strikers.,其他卡梅洛开发的马里奥体育比赛包括:Mario Golf、Tennis、超级明星棒球和超级Mario突击队。,"Other Mario sports competitions developed by Camelo include Mario Golf, Tennis, Superstar baseball and Super Mario commandos.",Other Mario sports games are Mario Golf and Mario Tennis. Also the baseball and football games Mario Superstar Baseball and Super Mario Strikers.
"Today I Feel Silly, and Other Moods That Make My Day, 1998; listed on the New York Times best-seller list for 9 weeks.","Die New York Times verlieh ""Today I Feel Silly"" und ""Other Moods That Make My Day"" 9 Wochen lang die Best-Seller-Liste.","""今天我感到很傻, 和其他使我的日子的摩德"", 在纽约时报畅销了9周。","""Today I felt stupid, and other Mods made my days,"" the New York Times sold out for nine weeks.","The New York Times gave ""Today I Feel Silly"" and ""Other Moods That Make My Day"" the best seller list for 9 weeks."
"Islam emphasizes unity and defense of fellow Muslims, although many divisions of Islam (see Sunni-Shia relations, for example) exist.","Der Islam unterstützt die Einheit und Verteidigung aller Muslime. Es gibt viele Spaltungen des Islam, zum Beispiel sunnitische und schiitische.","伊斯兰教重视团结和捍卫穆斯林同胞,但伊斯兰教内部存在许多分歧。","Islam values solidarity and the defence of Muslim compatriots, but there are many differences within Islam.","Islam supports the unity and defence of all Muslims. There are many divisions of Islam, for example Sunni and Shiite."
This split the tigers into two groups which then went on to develop independently.,Dies spaltete die Tiger in zwei Gruppen. Dann entwickelten sie sich unabhängig.,"这把老虎分成两组,他们独立发展",This splits the tigers into two groups. They're developing independently.,This split the tigers into two groups. Then they developed independently.
"The area was the home of the Soanian Culture, which is evidenced by the discovery of fossils, tools, coins, and remains of ancient archaeological sites.","Das Gebiet war die Heimat der soanischen Kultur, die offensichtlich ist, weil die Entdeckung von Reliquien, Werkzeugen, Münzen und Überresten von alten archäologischen Stätten.","该地区是苏安文化的家园,其理念得到发现古代考古遗址的化石、工具、硬币和遗迹的支持。","The concept of the area, home to the Suan culture, is supported by the discovery of fossils, tools, coins and monuments of ancient archaeological sites.","The area was home to the Soanic culture, which is obvious because the discovery of relics, tools, coins and remains of ancient archaeological sites."
The genome includes both the genes and the non-coding sequences of the DNA.,Das Genom umfasst sowohl die Gene als auch die Nicht-Kodierungsreihenfolge der DNA.,基因组包括DNA的基因和非编码序列。,The genome includes genetic and non-coded sequences of DNA.,The genome includes both the genes and the non-coding order of DNA.
"Melodifestivalen 2008 On february 23 Oliv participated in Melodifestivalen 2008, as she played cello during Mickey Huskic entry in semifinal three.","Am 23. Februar 2008 nahm Oliv an den Melodifestivalen 2008 teil, als sie als Cello bei Mickey Huskic im Halbfinale drei spielte.","奥利夫于2008年2月23日参加了Melodifespivalen, 她在Mickey Huskic入场半决赛三时玩大提琴。","Olif joined Melodifespivalen on 23 February 2008, playing cello at Mickey Huskic's third final.","On February 23, 2008, Oliv took part in the 2008 Melodifestivals when she played as a cello with Mickey Huskic in the semi-finals."
"Muslims performing i'tikaf are required to stay within the mosque for ten consecutive days, often in worship or learning about Islam.","Muslime, die i'tikaf tun, müssen zehn Tage in der Moschee bleiben, um den Islam anzubeten oder zu lernen.","穆斯林在清真寺内做礼拜或学习伊斯兰教,",Muslims worship in mosques or study Islam.,Muslims who do i'tikaf must stay in the mosque for ten days to worship or learn Islam.
These somewhat abstract concerns tend to determine some but not all details of a specific concrete market system where buyers and sellers actually meet and commit to trade.,Diese vagen Bedenken bestimmen einige der Details eines bestimmten Marktsystems. In ihm treffen Käufer und Verkäufer tatsächlich zusammen und entscheiden sich für den Handel.,"没有证据的担心可能导致具体的面对面市场制度,使贸易商和买方在承诺出售之前能够面对面地见面。",Unsupported fears may lead to specific face-to-face market regimes that allow traders and buyers to meet face-to-face before they promise to sell.,"These vague concerns determine some of the details of a particular market system. In it, buyers and sellers actually meet and decide to trade."
Free Lossless Audio Codec (FLAC) is a file format for lossless audio data compression.,Free Lossless Audio Codec (FLAC) ist ein Setup für Audio ohne Qualitätsverlust.,免费无损音频编码( FLAC) 是用于压缩音频数据而不丢失的文件格式 。,Free undamaged audio encoding (FLAC) is the file format used to compress audio data without loss.,Free Lossless Audio Codec (FLAC) is a setup for audio without loss of quality.
"On December 19, 2006, a large white plume of condensing steam was observed, leading some media people to assume there had been a small eruption.","Dezember 2006 wurde eine große weiße Wolke von Kondensdampf beobachtet, die Medien nahmen an, dass es eine kleine Eruption gab.","2006年12月19日, 出现了一大股白色的凝结蒸汽,","On December 19, 2006, there was a large white condensed steam.","In December 2006, a large white cloud of condensed steam was observed, and the media assumed that there was a small eruption."
Many of the municipalities in the area receive their drinking water directly from Vättern.,Viele Gemeinden in der Umgebung bekommen ihr Trinkwasser direkt aus Vättern.,该地区许多城市都从自愿者那里获得饮用水。,Many cities in the region receive drinking water from volunteers.,Many communities in the area get their drinking water directly from Vättern.
"He resumed his post in July, with no apparent reduction in his ruthlessness.",Im Juli setzte er seinen Posten mit Eile fort.,"7月,他无所顾忌地继续任职。","In July, he continued to serve without fear.","In July, he continued his post in a hurry."
"Lady Agnes Hay's son, Alexander Duff, married Princess Louise, daughter of King Edward VII.",Alexander Duff heiratete Prinzessin Louise.,露易丝公主(爱德华八世国王之女)与亚历山大·杜夫(艾格尼斯·海夫人的儿子)结婚。,Princess Louise (daughter of King Edward VIII) is married to Alexander Duff (son of Mrs. Agnes Haye).,Alexander Duff married Princess Louise.
"Santiago, is the capital and largest city of Chile, and the center of its largest conurbation (Greater Santiago).",Santiago ist die Hauptstadt und größte Stadt Chiles.,"圣地亚哥是智利首都和最大的城市,位于大圣地亚哥的中心。","Santiago is the capital of Chile and the largest city, located at the heart of the Greater Santiago.",Santiago is the capital and largest city of Chile.
Selling out is often seen as gaining success at the cost of credibility.,"Ausverkaufen bedeutet, erfolgreich zu werden, während der Ruf verloren geht.","卖出正变得轻描淡写,但失去信誉。",The sale is becoming understated but discredited.,Selling out means becoming successful while the reputation is lost.
"It is 78% nitrogen and 21% oxygen, with trace amounts of water vapor, carbon dioxide and other gaseous molecules.","Es ist 78% Stickstoff, 21% Sauerstoff und hat geringe Mengen an Wasserdampf, Kohlendioxid und andere gasförmige Moleküle.","它是78%的氮和21%的氧,探测到大量的水蒸气、二氧化碳和其他一些气体分子。","It is 78 per cent nitrogen and 21 per cent oxygen, and a large amount of water vapour, carbon dioxide and other gas molecules have been detected.","It is 78% nitrogen, 21% oxygen and has small amounts of water vapor, carbon dioxide and other gaseous molecules."
"He returns in the 2007 series of Doctor Who, reuniting with the tenth incarnation of the Doctor, and returned again for the 2008 series.","Er kehrt in der Serie 2007 von Doctor Who, Wiedervereinigung mit der zehnten Version des Doctor. Er kommt wieder für die Serie 2008.","2007年和2008年,他回到了 "" 谁的医生 "" 系列,2007年,他与医生的第十个化身团圆。","In 2007 and 2008, he returned to the "" Whose Doctors "" series, and in 2007 he was reunited with the tenth incarnation of a doctor.","He returns in the 2007 series of Doctor Who, reunited with the tenth version of the Doctor. He comes back for the 2008 series."
"Luciano Spinosi (born May 9, 1950, Rome) is an Italian former football player.",Luciano Spinosi ist ein ehemaliger italienischer Fußballspieler.,Luciano Spinosi是一名前足球运动员。,Luciano Spinosi was a former football player.,Luciano Spinosi is a former Italian footballer.
Etymology This bird's name commemorates the American ornithologist George Newbold Lawrence.,Der Name des Vogels ehrt den amerikanischen Ornithologen George Newbold Lawrence.,鸟的名字是乔治·纽博尔德·劳伦斯,The bird's name is George Newbold Lawrence.,The bird's name honors the American ornithologist George Newbold Lawrence.
Punt Road underpasses directly under the station via a major interchange with Swan Street and Brunton Avenue.,Punt Road geht direkt unter dem Bahnhof. Es ist in einem großen Austausch mit Swan Street und Brunton Avenue.,坡道就在车站下方 穿过天鹅街和布伦顿大道,"The ramp is just below the station, passing through Swan Street and Brenton Avenue.",Punt Road goes directly below the train station. It's in a great exchange with Swan Street and Brunton Avenue.
History The district was formed in 1994 by merging the two previous districts Marienberg and Zschopau.,Geschichte Der Landkreis wurde 1994 gegründet und vereinte Marienberg und Zschopau.,"该区成立于1994年,由Marienberg区和Zschopau区合并创建。",The district was established in 1994 and was created by the combined districts of Marienberg and Zschopau.,History The district was founded in 1994 and united Marienberg and Zschopau.
"On January 4, 1999, Mick Foley, who had wrestled for WCW during the early 1990s as Cactus Jack, won the WWF Title as Mankind on Raw.",Mick Foley hatte in den frühen 1990er Jahren als Cactus Jack für WCW gekämpft. Am 4. Januar 1999 gewann er den WWF-Titel als Mankind on Raw.,"1999年1月4日,米克·福里(Mick Foley)在1990年代初期曾作为杰克仙人掌为世界妇女理事会摔跤,赢得了WWF在Raw上作为人类的称号。","On 4 January 1999, Mick Foley, who had wrestled for the World Council of Women as Jack Cactus in the early 1990s, won the title of WWF as human on Raw.","Mick Foley had fought for WCW in the early 1990s as Cactus Jack. On January 4, 1999 he won the WWF title as Mankind on Raw."
"Taylor walks around the scene spectating without interacting with Jordison or the females, there is a moment in which Jordison is looking in a mirror and Taylor suddenly appears.","Taylor bewegt sich herum, interagiert aber nicht mit jemandem. An einem Punkt erscheint Taylor schnell, als Jordison einen Spiegel anschaut.","泰勒在现场漫步,想着乔迪森或雌性。她不与他们接触或交谈。乔迪森在镜子中闪闪发光,泰勒也在那里。","Tyler walks on the scene, thinking about Jodyson or the female. She doesn't talk to them. Jodyson shines in the mirror, and Tyler's there.","Taylor moves around, but doesn't interact with anyone. At one point Taylor appears fast when Jordison looks at a mirror."
"These optional movements were known as galanteries: common examples are the minuet, gavotte, passepied, and bourree.","Diese optionalen Bewegungen wurden als Galanterien einschließlich Minuet, Gavotte, Passepied und Bourree bekannt.",选修运动被称为嘉年华、薄荷、加沃特、过路和波尔里等例子。,"The campaign was described as examples of carnivals, mints, Gawalts, passovers and Polly.","These optional movements were known as galanteries including Minuet, Gavotte, Passepied and Bourree."
"The little book was widely read, especially at Paray.","Das kleine Buch wurde weithin gelesen, was bei Paray sehr wahr war.",这本小书很受欢迎 特别是在帕拉伊,"It's a very popular book, especially in Parai.","The little book was widely read, which was very true at Paray."
The barracks were constructed from large sandstone blocks and carved out of the existing rock on the headland.,Die Kasernen wurden aus großen Sandsteinblöcken gefertigt und auf der Landzunge aus dem vorhandenen Gestein herausgeschnitten.,"营房是用大块块建的,从现有岩石中雕刻出来。",The barracks were constructed in large blocks and carved out of existing rocks.,The barracks were made of large sandstone blocks and cut out of the existing rock on the promontory.
"Frederick Hubbard ""Fred"" Gwynne (10 July 1926 2 July 1993) was an American actor.","Frederick Hubbard ""Fred"" Gwynne (10. Juli 1926, 2. Juli 1993) war ein US-amerikanischer Schauspieler.",1926年7月10日出生 1993年7月2日去世 他是美国演员,"Born on July 10th, 1926, died on July 2nd, 1993. He's an American actor.","Frederick Hubbard ""Fred"" Gwynne (July 10, 1926, July 2, 1993) was an American actor."
"They are also scheduled to play Roskilde, Rock am Ring, Pinkpop, Give It A Name Festival and Download.","Sie werden auch Roskilde, Pinkpop, Download und andere spielen.","他们计划玩罗斯克滑坡,摇滚环,粉红棒, 给它命名节,和下载。","They're planning to play Rothk landslides, rock rings, pink bars, give it a name festival, and download it.","You will also play Roskilde, Pinkpop, Download and others."
2002: shuttle bus service is replaced by the suspended monorail called the SkyTrain connects the terminal building with the InterCity train station.,2002 wurde der Shuttlebus durch den SkyTrain ersetzt. Er verbindet das Terminalgebäude mit dem InterCity Bahnhof.,"2002年,SkyTrain取代了班车服务,将终端楼与城市间火车站连接起来。","In 2002, SkyTrain replaced the bus service by connecting the terminal building to the inter-city railway station.",In 2002 the shuttle bus was replaced by the SkyTrain. It connects the terminal building with the InterCity station.
"Approximately half the size of Taiwan, it has a land area of 18,575.5 square kilometres (7,172 sq mi).","Etwa die Hälfte der Größe von Taiwan, hat es eine Landfläche von 7.172 sq mi.","它的陆地面积为18,575.5平方公里。","It has a land area of 18,575.5 square kilometres.","About half the size of Taiwan, it has a land area of 7.172 sq mi."
"Reality television is a genre of television programming that presents purportedly unscripted dramatic or humorous situations, documents actual events, and usually features ordinary people instead of professional actors.","Reality TV ist ein Genre der TV-Programmierung, die scheinbar ungeschrieben dramatische oder humorvolle Situationen präsentiert, dokumentiert tatsächliche Ereignisse, und in der Regel bietet normale Menschen statt professionelle Schauspieler.","现实电视记录了实际事件,并且是无章可循、戏剧化、幽默的。 它通常有普通人,而不是专业演员。","Real television records actual events, and it's random, dramatic, humorous, usually with ordinary people, not professional actors.","Reality TV is a genre of TV programming that presents seemingly unwritten dramatic or humorous situations, documents actual events, and usually provides ordinary people instead of professional actors."
"The wolf in bottom stands for the former administrative seat Pritzwalk, as walk derives from the slavonic wolk meaning wolf.",Der Wolf im Boden steht für den ehemaligen Verwaltungssitz Pritzwalk. Walk kommt aus dem slawischen Wolk. Es bedeutet Wolf.,底部的狼代表前行政座椅普里兹瓦克 步行来自斯拉夫狼 意思是狼,"The wolf at the bottom represents the former executive seat, Prizren, walking from the Slav, meaning the wolf.",The wolf in the ground stands for the former administrative seat of Pritzwalk. Walk comes from the Slavic Wolk. It means wolf.
Fossils Canowindra is the site of one of the world's great fossil discoveries.,Fossilien Canowindra ist der Ort einer großen fossilen Entdeckung.,卡诺林德拉是世界最伟大的化石发现之一,Canolindra is one of the greatest fossil discoveries in the world.,Fossil Canowindra is the site of a great fossil discovery.
"In it he explains that Christ has two qnome (essences), which are unmingled and eternally united in one parsopa (personality).","Darin erklärt er, dass Christus zwei Geister hat, die nicht gemischt und für immer in einer Persönlichkeit vereint sind.","他解释说,基督有两个泉源 真实的和永远的团结在一起 一个个性。",He explained that Christ had two fountains of true and eternal solidarity with one personality.,In it he explains that Christ has two spirits who are not mixed and forever united in one personality.
The structure was designed by the Greek architects Satyros and Pythis.,Die Struktur wurde von Satyros und Pythis entworfen.,这座建筑是由希腊设计师萨特罗斯和皮西斯创建的。,The building was built by Greek designer Satras and Piss.,The structure was designed by Satyros and Pythis.
"By 8.30 pm he had attracted the attention of the watchman for the Maritime Service Board, James Cargill.",Bis 20:30 Uhr lenkte er die Aufmerksamkeit von James Cargill vom Maritime Service Board.,"下午8时30分,他引起了海务委员会值班员詹姆斯·卡吉尔的注意。","At 8.30 p.m., he was brought to the attention of James Kargill, the duty officer of the Maritime Affairs Committee.",Until 8:30 p.m. he drew the attention of James Cargill from the Maritime Service Board.
It originated as the title of independent princes of Wales in the 12th and 13th centuries.,Sie entstand im 12. und 13. Jahrhundert als Titel der Unabhängigen Prinzen von Wales.,它在12世纪和13世纪首次被用作威尔士王子的头衔。,It was first used as the title of Prince of Wales in the 12th and 13th centuries.,It was created in the 12th and 13th centuries as the title of the Independent Princes of Wales.
It serves as an original source of information about the topic.,Es ist eine Informationsquelle über das Thema.,它是有关这一专题的第一个信息来源。,It was the first source of information on the topic.,It is a source of information on the subject.
The most common side effects of taking methylphenidate are nervousness and insomnia.,Die häufigsten Nebenwirkungen der Einnahme von Methylphenidat sind Spannung und Unruhe.,甲基苯甲醚最常见的副作用是神经紧张和失眠。,The most common side effects of methyl-phenyl ethers are nervous stress and insomnia.,The most common side effects of taking methylphenidate are tension and restlessness.
"In the match, Kenny grabbed a steel chair and inserted the chair on Triple H's left knee, similar to what the group did to Michaels.",Kenny schnappte sich einen Stahlstuhl und verletzte Triple Hs linkes Knie. Das war ähnlich wie die Gruppe Michaels.,Kenny拿起一把钢椅子 把椅子插在三H左膝上 和小组对Michaels做的事相似,"Kenny picked up a steel chair and stuck it on three H's left knee, similar to what the team did to Michaels.","Kenny grabbed a steel chair and injured Triple H's left knee, similar to Michael's group."
Its elongation led to the suggestion that Eunomia may be a binary object.,"Seine Dehnung führte zu der Idee, dass Eunomia ein binäres Objekt sein könnte.","它的延伸导致一种想法,即 Eunomia 可能是二进制的物体。",Its extension led to the idea that Eunomia could be a binary object.,His stretching led to the idea that Eunomia could be a binary object.
"The impacts appear to have spalled large volumes off the asteroid, as suggested by the angular edges of the craters.","Die Winkelränder der Krater deuten darauf hin, dass die Einschläge Brocken vom Asteroiden brachen.",撞击似乎将小行星上的大片碎裂成小块。 弹坑的角边缘表明了这一点。,"Impacts seem to break large pieces of asteroids into small pieces, as shown by the edges of the crater.",The angular edges of the craters indicate that the impacts broke chunks of the asteroid.
"Roman conquest Judea lost its independence to the Romans in the 1st century BCE, by becoming first a tributary kingdom, then a province, of the Roman Empire.","Judäa verlor seine Unabhängigkeit an die Römer im 1. Jahrhundert v. Chr. Sie wurden ein Nebenreich, dann eine Provinz des Römischen Reiches.","罗马征服的犹太教在公元前一世纪丧失了罗马人的独立。 这是因为它成为一个支流王国,然后成为罗马帝国的一个省。","The Roman conquest of Judaism lost the independence of the Romans in the first century B.C., because it became a tributary and then a province of the Roman Empire.","Judea lost its independence to the Romans in the 1st century B.C. They became a minor empire, then a province of the Roman Empire."
The females have the unique ability to delay birth of their baby until their previous Joey has left the pouch.,"Die Weibchen haben die Fähigkeit, die Geburt ihres Babys zu verzögern.","女性可以推迟婴儿的出生,直到她们以前的婴儿离开邮袋。",Women can delay the birth of their babies until their former babies leave the pouch.,The females have the ability to delay the birth of their baby.
The Manchu ethnicity has largely been assimilated with the Han Chinese.,Die Mandschu-Ethnie wurde mit den Han-Chinesen vermischt.,满洲人基本上加入了汉人。,Manchurians basically joined the Han.,The Manchu ethnicity was mixed with the Han Chinese.
"Clinical trials with ALS patients showed that Riluzole lengthens survival by several months, and may have a greater survival benefit for those with a bulbar onset.",Erste Studien mit Riluzol für ALS zeigen eine verlängerte Überlebensdauer für mehrere Monate mit besseren Vorteilen für Menschen mit einem Bulbar-Eingang.,"ALS的Riluzole初步试验显示,存活期已延长数月,对灯泡发泡者来说更好。","The initial Liluzole test at ALS shows that the survival period has been extended for several months, which is better for light bulbs.",Initial studies with riluzole for ALS show an extended survival period for several months with better benefits for people with a bulbar entrance.
"He said he would attend a third questioning session soon upon his return to Israel "".","Er sagte, er werde nach seiner Rückkehr nach Israel an einer dritten Befragungssitzung teilnehmen.","他说,当他返回以色列时,他将参加第三次讯问 "" 。","He states that when he returns to Israel, he will participate in the third interrogation "".",He said he would attend a third questioning session after returning to Israel.
"Orenthal James ""O. J."" Simpson (born July 9, 1947), nicknamed ""The Juice"", is a retired American football player, actor, spokesman, and convicted felon.","Orenthal James Simpson war ein US-amerikanischer Fußballspieler, Schauspieler, Sprecher und verurteilter Verbrecher.",辛普森出生于1947年7月9日。他被称为“果汁 ” 。 他是一个退休的美国足球运动员、演员、发言人和罪犯。,"Simpson was born on 9 July 1947. He's known as the Juice. He's a retired American football player, actor, spokesperson and criminal.","Orenthal James Simpson was an American footballer, actor, speaker and convicted criminal."
"This marked the beginning of the line of contact between Soviet and American forces, but not the finalized occupation zones.",Dies war der Beginn des Kontakts zwischen sowjetischen und amerikanischen Streitkräften. Allerdings waren dies nicht die letzten Besatzungszonen.,"这标志着苏联和美国部队之间接触线的开始,占领区后来最终确定。","This marked the beginning of the line of contact between the Soviet Union and the United States forces, which was subsequently finalized in the occupied territories.","This was the beginning of the contact between Soviet and American forces. However, these were not the last occupation zones."
"The AES ciphers have been analyzed extensively and are now used worldwide, as was the case with its predecessor, the Data Encryption Standard (DES).",Die AES-Chiffren wurden umfassend betrachtet und werden heute weltweit eingesetzt.,"AES 密码已经进行了多次分析,现在全世界都在使用。数据加密标准也发生了类似的情况。",The AES password has been analysed several times and is now in use worldwide. A similar situation has occurred with data encryption standards.,The AES ciphers have been widely considered and are now used worldwide.
"Carpets, rugs, velvet, velour, and velveteen, are made by interlacing a secondary yarn through woven cloth, creating a nap or pile.","Teppiche, Teppiche, Samt, Velours und Samte, werden durch Verlegen eines sekundären Garns durch gewebtes Tuch hergestellt. Dies schafft ein Nickerchen oder Pfahl.","地毯、地毯、天鹅绒、天鹅绒和天鹅绒,都是通过织布将第二层纱线交织成的。这可以制造一个午睡或堆叠。","The carpets, the carpets, the velvets, the velvets and the velvets are all woven through fabrics. This makes a nap or stack.","Carpets, carpets, velvet, velours and velvet are made by laying a secondary yarn through woven cloth. This creates a nap or stake."
To cater for the growth in Cranbourne several primary schools have been proposed.,"Um mit dem Wachstum in Cranbourne umzugehen, wurden einige Grundschulen vorgeschlagen.","为了应对克兰伯恩的增长,有人提出了一些小学的建议。","In response to the growth of Cranburn, a number of proposals were made for primary schools.","In order to deal with the growth in Cranbourne, some primary schools were proposed."
The collective term for all types of ammunition is munitions.,Alle Arten von Munition sind Munition.,所有类型的弹药都是弹药。,All types of munitions are munitions.,All types of ammunition are ammunition.
Osbourne later became a judge on the talent shows The X Factor and America's Got Talent.,"Osbourne war dann Richter bei den Shows ""The X Factor"" und ""America's Got Talent"".",奥斯本后来被评断 天才秀《X因素》和《美国有才华》,Osborne was later judged by the talent show X Factor and American Talent.,"Osbourne was a judge at the shows ""The X Factor"" and ""America's Got Talent""."
